L-col L-row R-col R-row
1480 913 580 823
1262 1206 320 1098
1468 1606 461 1504
1188 1608 185 1490
1528 1687 507 1588
1992 499 900 432
2231 519 1137 466
1460 1113 528 1019
1504 1607 496 1507
1522 1673 503 1573
1352 759 478 664
1241 906 345 802
1214 1002 302 896
1123 312 328 207
1123 312 328 207
1351 811 469 715
1351 811 469 715
1167 1016 255 905
1131 1167 195 1053
1306 1477 322 1367
